applicant,application_date,application_number,document_date,document_number,inventor,title
长沙中联重科环卫机械有限公司,2013-12-05,CN201310652596.9,2015-06-03,CN104674738A,"王泽彪,辛绪早",道路清洁车辆
中集集团集装箱控股有限公司,2014-05-16,CN201410209987.8,2015-07-29,CN104801599A,"董旭,李建平,杨克辉,汪德禄,钟永强,贺文彬",集装箱门横梁冲压生产线
广东新会中集特种运输设备有限公司,2014-01-07,CN201410007706.0,2015-07-08,CN104760786A,"姚谷,黎泽深,孔河清,姚学文,赵建刚",干货集装箱底架部件、干货集装箱及其加工方法
丽珠集团丽珠制药厂,2013-03-15,CN201310097794.3,2014-10-22,CN103169684B,"侯雪梅,郭国岭,金鑫,徐晓,陈剑,解荷芝,李菁",一种艾普拉唑肠溶口崩片及其制备方法
丽珠集团丽珠制药厂,2014-05-21,CN201410221399.6,2014-10-29,CN104116718A,"黄伟兴,郭国岭,徐晓,陈大成,钟贞,李月颖,吴婷婷",盐酸伊托必利口服制剂
长沙中联重科环卫机械有限公司,2013-11-28,CN201310626194.1,2015-06-03,CN104674737A,"甘新宇,肖庆麟,龙亮",吸嘴和道路清洁车辆
上海中联重科桩工机械有限公司,2014-12-10,CN201410756357.2,2015-05-13,CN104612597A,"杨涛,黄志明,张旭辉",一种芯节杆及具有其的旋挖钻机钻杆
中集集团集装箱控股有限公司,2014-03-04,CN201410077139.6,2015-09-09,CN104891058A,"陈竟华,黎西亚,赵小丽,伍素文",集装箱
中集集团集装箱控股有限公司,2015-04-03,CN201510158973.2,2015-08-26,CN104859258A,"刘方忠,李建平",喷标模材料
中集集团集装箱控股有限公司,2014-06-04,CN201410244998.X,2015-07-29,CN104801600A,"汪德禄,杨克辉,刘永琼,钟永强,李建平",集装箱大门槛类部件生产线
丽珠集团丽珠制药厂,2013-03-15,CN201310097693.6,2013-07-10,CN103191136A,"侯雪梅,郭国岭,金鑫,徐晓,陈剑,解荷芝,李菁",一种包含阿司匹林和艾普拉唑钠的复方制剂及其制备方法
丽珠集团利民制药厂,2008-03-28,CN200810084887.1,2013-07-31,CN101543461B,"谢海燕,刘东来,梁洪",三七总苷药液软包装
长沙中联重科环卫机械有限公司,2013-02-19,CN201310053364.1,2015-03-04,CN103101700B,"孙昌俊,刘瑞文,杜林宝",一种垃圾压缩机及用于其闸门的控制方法和控制装置
中联重科股份有限公司渭南分公司,2012-11-19,CN201210469915.8,2015-03-18,CN102912816B,"单晓宁,杨超,赵晗,陈冠军,尚景山",挖掘机的控制方法和控制装置与挖掘机
中集集团集装箱控股有限公司,2014-03-28,CN201410125477.2,2015-07-29,CN104801863A,"韩园林,许浦申,朱德祥",金属卷材接带方法及设备
中集集团集装箱控股有限公司,2014-03-18,CN201410100530.3,2015-07-29,CN104803129A,"刘毅,孙天宇",集装箱及集装箱角柱的铸造方法
丽珠集团丽珠制药厂,2013-03-15,CN201310097715.9,2013-06-26,CN103169683A,"侯雪梅,郭国岭,金鑫,徐晓,陈剑,解荷芝,李菁",一种艾普拉唑钠肠溶口崩片及其制备方法
丽珠集团丽珠制药厂,2013-07-03,CN201310289640.4,2013-11-20,CN103393614A,"郭国领,曾华哲,马小玲,徐晓,郑现强,黄伟兴,钟贞,王亚龙,白冰",一种盐酸哌罗匹隆缓释制剂及制备方法
丽珠集团丽珠制药厂,2013-07-27,CN201310328566.2,2013-11-27,CN103405462A,"侯雪梅,郭国岭,金鑫,徐晓,陈剑,解荷芝,向双",一种含有艾普拉唑组合物的复方胶囊及其制备方法
浙江新华制药有限公司,2011-01-13,CN201110006330.8,2011-06-15,CN102093263A,"林邦平,洪秀云,黄明孙",一种氯吡格雷拆分剂左旋樟脑磺酸的回收方法
上海中联重科桩工机械有限公司,2014-11-03,CN201410608398.7,2015-02-25,CN104373399A,何杰,可实现多扭矩输出的液压系统及旋挖钻机
中联重科股份有限公司渭南分公司,2012-07-27,CN201210264132.6,2015-02-18,CN102767204B,"王科,王亮",暖机控制设备、控制系统和控制方法及工程机械设备
中集集团集装箱控股有限公司,2014-03-21,CN201410109714.6,2015-07-29,CN104803127A,"孙吉栋,林霖,张洪春,窦义康",保温箱体
中集集团集装箱控股有限公司,2014-12-03,CN201410729690.4,2015-07-29,CN104803125A,"章志军,周卫华,丁志春,陆新林",锁紧机构及具有其的集装箱
丽珠集团利民制药厂,2013-01-09,CN201310008395.5,2016-08-24,CN103913533B,"苏薇薇,王锦旭,童欣,曹晖,李沛波,彭维,王永刚",用于评价参芪扶正注射液化学成分的方法及其应用
丽珠集团丽珠制药厂,2013-07-27,CN201310328566.2,2016-07-06,CN103405462B,"侯雪梅,郭国岭,金鑫,徐晓,陈剑,解荷芝,向双",一种含有艾普拉唑组合物的复方胶囊及其制备方法
山东新华制药股份有限公司,2011-03-23,CN201110070866.6,2011-07-13,CN102120629A,"杜德平,宫怀正,王超学,吴建科,胡发明",一种气提法处理含氰废水的方法
山东新华制药股份有限公司,2017-03-21,CN201710168446.9,2017-06-30,CN106905140A,"李兴泰,黄爱军,李敏之,宋丽华",阿司匹林回收品的处理方法
上海中联重科桩工机械有限公司,2012-11-13,CN201210455185.6,2015-03-11,CN102937121B,"朱长林,乔国华,黄志明",压力设定阀和工程设备
湖南中联重科车桥有限公司,2014-10-15,CN201410544961.9,2015-03-04,CN104384852A,"邓光明,张波",轮毂轴管的加工方法
中集集团集装箱控股有限公司,2015-03-03,CN201510094849.4,2015-07-29,CN104803124A,"樊平燕,孙吉栋,马兆云,张洪春,刘伟,孙立赢,王洪鑫,申兴沛",油箱内置的集装箱
中集集团集装箱控股有限公司,2014-06-04,CN201410245561.8,2015-07-29,CN104801982A,"钟永强,董旭,汪德禄,杨克辉,李建平",集装箱小门槛类部件生产线
中集集团集装箱控股有限公司,2014-12-03,CN201410730302.4,2015-07-29,CN104803132A,"黄吴飞,陈小军,许新祥,杨建峰",锁紧机构及具有其的硬开顶集装箱
丽珠医药集团股份有限公司,2014-05-21,CN201410222396.4,2016-06-29,CN104031066B,"莫德欢,张鹏,肖鸿,孔祥生",一种头孢地嗪钠药物及制备方法
丽珠集团丽珠制药厂,2014-05-21,CN201410222057.6,2016-08-24,CN104031901B,"郭国岭,扈会平,徐晓,曹延琴,王伟梅,邱伟",一种纯化尿激酶的方法
丽珠集团利民制药厂,2013-12-28,CN201310756866.0,2016-09-28,CN103884731B,"曹晖,姜苗苗,许磊,黄文华,刘东来,谢海燕",一种参芪扶正注射液核磁共振质量控制方法
山东新华制药股份有限公司,2017-05-10,CN201710319724.6,2017-08-25,CN107089971A,"张振沛,商艳梅,郑忠辉,张滨,易晓清,孟斌",高纯度托匹司他的制备方法
山东新华制药股份有限公司,2017-04-28,CN201710291407.8,2017-06-20,CN106866703A,"张硕,徐豪杰,贺新恒,蒋涛,王付荣",头孢拉定氧化物D的制备方法
中联重科股份有限公司渭南分公司,2014-10-09,CN201410527269.5,2015-03-25,CN104454801A,"金开,白晶,梅广红,雷琳,张玉丹",液压油温度控制系统，液压油温度控制方法
长沙中联重科环卫机械有限公司,2013-04-02,CN201310112513.7,2015-03-25,CN103171803B,"潘科扬,高根树,刘阳样",破袋设备和垃圾分选系统
常德中联重科液压有限公司,2014-10-23,CN201410570465.0,2015-03-25,CN104452631A,"徐尧,向治平,赵兵",流体分配机构及工程机械
丽珠集团疫苗工程股份有限公司,2016-05-17,CN201610338665.2,2016-10-26,CN106047821A,"李云富,李刚,黄勇,付臻鹏,刘春庭,罗翀,胡雪芹,肖俊光",一种利用生物反应器规模化生产轮状病毒疫苗的方法
山东新华制药股份有限公司,2011-11-21,CN201110371490.2,2013-10-09,CN102432520B,"朱连博,杜德平,郑忠辉,赵帅,杜培亮,徐雪梅",3-[2-（二甲氨基）乙基]-N-甲基吲哚-5-甲烷磺酰胺琥珀酸盐的制备方法
山东新华制药股份有限公司,2012-05-07,CN201210137206.X,2013-10-09,CN102641254B,"任福龙,王翀,陈岐信,郑忠辉",阿司匹林肠溶缓释制剂的制备方法
长沙中联重科环卫机械有限公司,2013-12-13,CN201310683765.5,2015-04-15,CN103669558B,卜伟,排污装置和吸粪车
中联重科物料输送设备有限公司,2014-12-02,CN201410723449.0,2015-04-08,CN104493967A,"肖业恒,骆琪胜,王军正,钟毅生,曾建晖",污泥制陶粒系统
中山大学,2014-08-15,CN201410404584.9,2017-01-25,CN104232299B,"周勰,唐阳刚,池振国,叶燕媚,陈学文",发酵制药生产中废弃植物油的回收再生方法
山东新华制药股份有限公司,2014-11-28,CN201410710229.4,2016-08-24,CN104447208B,"朱连博,赵帅",从奥美沙坦酯生产废液中回收三苯基甲醇的方法
山东新华制药股份有限公司,2013-12-10,CN201310669527.9,2016-08-17,CN103694389B,"郑忠辉,段会增,王剑平,于磊,曹丽丽,鹿慧",碳酸司维拉姆制备工艺
山东新华制药股份有限公司,2012-12-19,CN201210552749.8,2016-08-17,CN103880622B,"张玲,寇祖星,李英喜",一种布洛芬生产装置及工艺
长沙中联重科环卫机械有限公司,2014-11-18,CN201410657619.X,2015-04-08,CN104494185A,"邓文程,李洪超,苏伟,邓炼,刘瑞文,魏剑锋,刘啸",一种垃圾压缩方法、装置及垃圾压缩机
长沙中联重科环卫机械有限公司,2013-03-06,CN201310071540.4,2015-04-01,CN103103956B,"沈维阳,谢永洲",道路清洁车
上海中联重科桩工机械有限公司,2012-08-08,CN201210281011.2,2015-04-22,CN102767362B,"佘莉芳,常延沛,王强华,苑国庆,汪君",旋挖钻机的测深装置及包括该测深装置的旋挖钻机
山东新华制药股份有限公司,2012-12-19,CN201210552746.4,2016-03-02,CN103880650B,"张玲,寇祖星,李英喜",一种布洛芬钠盐精制装置及工艺
山东新华制药股份有限公司,2015-11-30,CN201510866833.0,2016-03-23,CN105418587A,"郑忠辉,翟吉胜,赵彬",达比加群酯游离碱的精制方法
中联重科股份有限公司渭南分公司,2013-03-21,CN201310093144.1,2015-04-29,CN103148243B,刘联仓,换向球阀
长沙中联重科环卫机械有限公司,2014-12-17,CN201410787514.6,2015-04-22,CN104531261A,"王雷,李保陆,罗文刚",一种废弃物衍生燃料及其制备方法
山东新华制药股份有限公司,2013-12-13,CN201310682955.5,2016-07-13,CN103626782B,"王剑平,贾健波,张艺欣,窦国华,卢维刚",溴甲纳曲酮的制备方法
山东新华制药股份有限公司,2016-04-27,CN201610270742.5,2016-08-24,CN105884696A,"张富强,常森,王付荣",布他比妥晶型
上海中联重科桩工机械有限公司,2014-12-18,CN201410803959.9,2015-04-29,CN104563855A,"李明,何欢",旋挖钻机、旋挖钻机的甩土系统及基于此系统的甩土方法
新华制药(寿光)有限公司,2017-08-01,CN201710647858.0,2018-01-05,CN107540618A,"杜德平,王超学,靳延辉,刘强,王丽曼","一种6‑氨基‑1,3‑二甲基脲嘧啶的制备方法"
山东新华制药股份有限公司,2010-11-15,CN201010544053.1,2011-06-22,CN102101827A,"李进都,刘怀林,吴军军,常森",一种普拉格雷中间体α-环丙羰基-2-氟苄基卤的制备方法
浙江新华制药有限公司,2011-01-21,CN201110022904.0,2011-07-20,CN102127007A,"石予白,李军敏,林邦平",一种4-(N-苯基丙酰胺)-4-甲氧甲基哌啶盐酸盐的制备方法
山东新华制药股份有限公司,2010-04-10,CN201010146004.2,2010-08-25,CN101812069A,"李进都,孙科,常森",一种普拉格雷合成工艺
山东新华制药股份有限公司,2010-04-10,CN201010146002.3,2010-08-25,CN101810611A,"李进都,韩勇,孙科,常森",普拉格雷及其酸加成盐的环糊精包合物及其制备方法
山东新华制药股份有限公司,2008-11-11,CN200810160237.0,2010-08-25,CN101401816B,汪洋,一种聚卡波非钙颗粒的制备方法
潍柴动力股份有限公司,2012-08-01,CN201210272034.7,2012-10-24,CN102748181A,"岳广照,桑海浪,吕志华,张展腾",一种喷油器故障诊断方法和装置
潍柴动力股份有限公司,2009-09-22,CN200910019018.5,2012-11-14,CN101655058B,"常国丽,张立君,李士振",防错插式喷油器线束支架
潍柴动力股份有限公司,2012-04-05,CN201210097895.6,2012-08-01,CN102619632A,"佟德辉,刘栋,王秀雷,闫玉,桑海浪,黄继轩",一种柴油机电控数据功能校对系统和功能校对方法
潍柴动力股份有限公司,2012-02-28,CN201210048923.5,2012-07-11,CN102555818A,"韩尔樑,肖育波,何汉清",一种增加刹车动能回收比例的方法及系统
潍柴动力股份有限公司,2012-05-31,CN201210176402.8,2012-09-12,CN102664291A,"韩尔樑,王宏宇,张守中",一种提升动力电池性能的方法和系统
潍柴动力股份有限公司,2012-03-30,CN201210091023.9,2012-08-01,CN102620884A,"李庆磊,刘彬,王志新,马宝东",一种汽缸压力检测设备及检测方法
潍柴动力股份有限公司,2012-04-09,CN201210102577.4,2012-08-01,CN102620875A,"韩尔樑,王宏宇,孙强",一种扭矩测量仪
中兴通讯股份有限公司,2014-07-15,CN201710744882.6,2017-12-05,CN107437986A,"方永刚,孙波,吕开颖,李楠",无线网络中的全双工操作
潍柴动力股份有限公司,2010-02-02,CN201010117474.6,2012-08-08,CN101793318B,"刘际仁,孙晓丽,郭圣刚,王金波,张纪元",柴油机曲轴皮带轮
潍柴动力股份有限公司,2012-04-18,CN201210114930.0,2012-08-01,CN102616233A,"韩尔樑,何汉清",一种混合动力商用车的节能控制方法及系统
潍柴动力股份有限公司,2012-04-13,CN201210108736.1,2012-08-01,CN102619899A,"韩尔樑,王朝辉,潘凤文,刘信奎,刘涣东,耿丽珍",一种自动离合器执行机构及控制方法
中兴通讯股份有限公司,2012-04-12,CN201280028846.5,2017-09-29,CN103597759B,"丹尼斯·安德烈耶维奇·霍季姆斯基,袁立权,张德智",减轻在无源光网络（PON）中的流氓光网络单元（ONU）行为
潍柴动力扬州柴油机有限责任公司,2010-12-29,CN201010612634.4,2012-08-08,CN102011618B,"贺园玲,郭林山,阮志强",发动机、气门驱动机构及其导向销
潍柴动力股份有限公司,2012-03-29,CN201210089090.7,2012-07-25,CN102602388A,"韩尔樑,王宏宇,李欣欣",一种优化混合动力发动机怠速下工况的方法和装置
中兴通讯股份有限公司,2010-04-16,CN201010148345.3,2011-10-19,CN102223335A,李萍,一种时偏估计方法和装置
中兴通讯股份有限公司,2007-04-10,CN200710091151.2,2011-10-26,CN101287196B,"童向杰,丁克忠,凌小兵,周勇",一种基于AP架构的双模智能移动终端开机选网的方法
中兴通讯股份有限公司,2008-09-09,CN200810216107.4,2011-10-26,CN101355454B,向春,一种自动升级分布式网络管理服务器的系统与方法
潍柴动力股份有限公司,2011-11-23,CN201110376216.4,2012-09-19,CN102673343A,"马季,陈鹏程,林安,陶召峰",一种型面连接稳定杆
潍柴动力股份有限公司,2011-12-15,CN201110421602.0,2012-06-13,CN102493905A,"张纪元,黄丽玲,王建军,胡益聪,韩景峰",一种柴油机冷启动辅助装置及控制方法
中兴通讯股份有限公司,2008-03-26,CN200810066330.5,2011-10-26,CN101252817B,高峰鸽,一种多层印刷电路板的设计生产方法
中兴通讯股份有限公司,2006-05-19,CN200610080863.X,2011-10-26,CN101076016B,"周继华,张亮,赵志强,李金旺",一种保护网络拓扑结构的方法
潍柴动力股份有限公司,2011-01-31,CN201110034090.2,2011-09-14,CN102182545A,孙永亮,一种发动机及其增压控制阀
潍柴动力股份有限公司,2011-01-31,CN201110034082.8,2011-09-14,CN102181780A,"李明,刘庆义,房夺,李娜,张行河,乔进国,张敏之,许景峰",一种灰铸铁及其生产工艺
潍柴动力股份有限公司,2011-04-21,CN201110108078.1,2011-09-14,CN102182822A,"寇祥荣,陈小磊,张有",换档提示设备和方法
中兴通讯股份有限公司,2007-08-29,CN200710121100.X,2011-10-26,CN101115310B,"刘志堃,刘鑫",一种微波存取全球互通系统中邻区列表的更新方法及系统
中兴通讯股份有限公司,2008-07-24,CN200810142663.1,2011-10-26,CN101325456B,沈训龙,一种光网络中处理TE链路降级的方法
潍柴动力股份有限公司,2011-01-27,CN201110032761.1,2011-09-14,CN102182575A,"胡广地,孙少军,佟德辉,张晓琳",用于控制柴油发动机的空气系统的设备和方法
潍柴动力股份有限公司,2011-01-31,CN201110034004.8,2011-09-14,CN102182539A,"李志勇,刘晓芳,侯亚玲,王宝军",一种柴油机及其海水泵
中兴通讯股份有限公司,2007-07-18,CN200710130402.3,2011-10-26,CN101114903B,"娄本刚,史洪波,王佃,胡刚,涂晓东,谢军",一种吉比特无源光网络系统中高级加密标准加密装置及其实现方法
中兴通讯股份有限公司,2007-01-08,CN200710072835.8,2011-10-26,CN101222758B,赵孝武,一种在高速分组数据网传递1x寻呼被拒绝的方法
中兴通讯股份有限公司,2011-08-08,CN201110225608.0,2011-12-21,CN102291736A,"吴欣,戴博,陈艺戬,左志松",下行控制信道的检测方法、用户设备及基站
潍柴动力股份有限公司,2011-03-31,CN201110080579.3,2011-09-14,CN102182589A,"张有,乔海周,雷保军,靳海龙",一种发动机进气系统
中兴通讯股份有限公司,2010-06-18,CN201010211233.8,2011-12-21,CN102291732A,"柯雅珠,程翔,刘霖",传输间隙样式序列的处理方法、装置及系统
中兴通讯股份有限公司,2011-05-26,CN201110139142.2,2011-12-21,CN102289389A,"李凤霞,姜海洋",跨平台的多媒体应用方法及装置
丽珠集团丽珠制药厂,2017-12-08,CN201711296232.6,2018-03-30,CN107860814A,"曾娟梅,孙朗,扈会平,陈清华,徐晓,吴菊莲,孙莉,钟贞,曹珺",一种蛋白质等电聚焦电泳方法及其配胶装置
中兴通讯股份有限公司,2011-08-24,CN201110248248.6,2011-12-21,CN102291698A,"席春艳,章强,李学军",非结构化补充业务实现方法、装置和系统
中兴通讯股份有限公司,2007-06-12,CN200710110860.0,2011-12-28,CN101146099B,罗公明,域间路由协议流量工程链路的自动生成和维护方法
中兴通讯股份有限公司,2010-06-17,CN201010203522.3,2011-12-21,CN102291775A,"张现周,张文英,陈晔,李建辉",自动调整小区上下行时隙配比的方法和装置
丽珠集团疫苗工程股份有限公司,2013-11-13,CN201310571449.9,2015-05-20,CN104630128A,"李云富,李刚,吴林彝,黄奕斌,郭晓娜,罗翀,肖俊光",一种用于再生处理细胞和病毒培养用微载体的方法
丽珠集团新北江制药股份有限公司,2017-10-19,CN201710996630.2,2018-03-13,CN107793342A,"姜桥,杨通胜,邓意,黄从汉,向双",一种布瓦西坦的制备方法
中兴通讯股份有限公司,2011-07-18,CN201110202015.2,2011-11-23,CN102254324A,张静,局部图像平移方法及带有触摸屏的终端
中兴通讯股份有限公司,2008-02-28,CN200810007562.3,2011-11-30,CN101232447B,罗友松,一种控制学习的MAC地址预老化的方法
丽珠集团疫苗工程股份有限公司,2013-11-13,CN201310571449.9,2018-04-10,CN104630128B,"李云富,李刚,吴林彝,黄奕斌,郭晓娜,罗翀,肖俊光",一种用于再生处理细胞和病毒培养用微载体的方法
中兴通讯股份有限公司,2008-04-24,CN200810093971.X,2011-11-30,CN101568121B,张军,一种实现小区分区的方法
丽珠集团福州福兴医药有限公司,2016-11-17,CN201621249230.2,2017-08-15,CN206404062U,"蒋永飞,罗仲鸿,邓宇,王为民",种子罐的灭菌系统
丽珠集团福州福兴医药有限公司,2016-11-15,CN201621227296.1,2017-05-17,CN206173341U,"陈毅林,蔡秀平,蒋永飞,王为民",一种种子罐接种装置
丽珠集团福州福兴医药有限公司,2010-06-13,CN201020226148.4,2011-01-12,CN201701763U,"黄志强,胡嗣敏,赵旭生,郑联顺,林山杉,陈卫聪",蒸发器除沫分离装置及蒸发器
丽珠集团福州福兴医药有限公司,2010-06-13,CN201020226149.9,2011-01-12,CN201701764U,"黄志强,胡嗣敏,赵旭生,郑联顺,林山杉,陈卫聪",蒸发器除沫分离装置
丽珠集团福州福兴医药有限公司,2010-06-13,CN201020226092.2,2011-01-12,CN201701758U,"胡嗣敏,黄志强,赵旭生,郑联顺,林山杉,陈卫聪",一种蒸发器
丽珠集团福州福兴医药有限公司,2013-12-20,CN201320848201.8,2014-06-04,CN203620377U,"吕述权,赖庆云,林斌,陈秉梅",一种液体过滤装置
丽珠集团福州福兴医药有限公司,2013-11-07,CN201320699430.8,2014-04-16,CN203538665U,"曹廷锋,石敏敏,鲁智林,陈秉梅,任慧慧",清洗充分的发酵罐清洗装置
丽珠集团福州福兴医药有限公司,2013-11-07,CN201320700063.9,2014-04-16,CN203541038U,"陈秉梅,石敏敏,曹廷锋,鲁智林",发酵罐清洗装置
丽珠集团福州福兴医药有限公司,2009-08-27,CN200920182684.6,2010-05-26,CN201482576U,"张茂华,黄志强",一种晶浆离心分离系统
丽珠集团福州福兴医药有限公司,2016-11-15,CN201621227179.5,2017-05-17,CN206173327U,"罗仲鸿,邓宇,蒋永飞,王为民",一种有氧发酵罐
丽珠集团福州福兴医药有限公司,2016-11-15,CN201621227159.8,2017-05-17,CN206173335U,"罗仲鸿,邓宇,王为民,蒋永飞",一种发酵罐的无菌空气投入系统
丽珠集团福州福兴医药有限公司,2016-10-14,CN201621122668.4,2017-04-05,CN206073577U,"李素彬,王昭成,江云,汪功剑,王为民",一种冻干机
丽珠集团福州福兴医药有限公司,2016-10-14,CN201621122696.6,2017-04-12,CN206089018U,"李素彬,王昭成,汪功剑,蒋永飞,王为民",一种用于冻干机的加料装置
丽珠集团福州福兴医药有限公司,2016-11-15,CN201621227272.6,2017-06-09,CN206232721U,"陈毅林,蔡秀平,蒋永飞,王为民",一种移种装置
丽珠集团福州福兴医药有限公司,2016-11-17,CN201621239673.3,2017-06-09,CN206232695U,"罗仲鸿,邓宇,蒋永飞,巫秋萍",一种物料加热保温系统
丽珠集团福州福兴医药有限公司,2013-11-07,CN201320701094.6,2014-04-16,CN203541037U,"石敏敏,陈秉梅,曹廷锋,鲁智林",可控出水的发酵罐清洗装置
中集集团集装箱控股有限公司,2014-03-26,CN201410117021.1,2018-01-30,CN104801972B,"韩园林,朱德祥",集装箱侧板定尺剪切方法及设备
南通中集特种运输设备制造有限公司,2015-07-16,CN201510419300.8,2017-02-15,CN106395181A,"张新林,马锡山",集装箱底架及其装配方法
南通中集顺达集装箱有限公司,2015-09-16,CN201510591731.2,2017-03-29,CN106541217A,"黄志军,鲁统文,茅利祥,王成,曹双金",集装箱零部件封板装焊机构
南通中集特种运输设备制造有限公司,2013-09-17,CN201310424423.1,2017-03-22,CN104443906B,"吕国权,刘荣,丁志春,翟建兴,陆新林,董春健,陈耀,范凯,李爱华",集装箱的开锁装置、具有开锁装置的锁具结构及集装箱
中集集团集装箱控股有限公司,2013-05-14,CN201310177215.6,2017-03-29,CN104148946B,"芦兰庆,王子生",底侧梁的生产方法及其自动在线冲缺和切断的方法与设备
中集集团集装箱控股有限公司,2014-08-29,CN201410438566.2,2017-03-08,CN104801822B,"孟宪志,孙忠明,王兆义",集装箱拼板焊接设备及自动焊接方法
南通中集特种运输设备制造有限公司,2015-04-20,CN201510189456.1,2016-11-23,CN106144299A,汪源,侧开集装箱
南通中集特种运输设备制造有限公司,2015-04-28,CN201510210411.8,2016-11-23,CN106144289A,"许新祥,郭伟嘉,吕国权,李爱华",箱门密封增强机构及具有其的干散货箱
扬州润扬物流装备有限公司,2016-09-13,CN201610822441.9,2016-12-21,CN106246080A,"缪靖飞,蒋立华,金花,李相娟",百叶窗和具有其的集装箱
中集集团集装箱控股有限公司,2015-08-04,CN201510471964.9,2017-02-08,CN106379667A,"樊平燕,王军海,孙建顺,徐磊,陈克涛,管超",集装箱门板及具有其的集装箱
太仓中集冷藏物流装备有限公司,2015-12-18,CN201510958107.1,2017-02-08,CN106379665A,"黄国浩,武馨,李经伟,潘璇,郭虎",冷藏集装箱地板组合件及具有其的冷藏集装箱
中集集团集装箱控股有限公司,2013-12-20,CN201310714871.5,2017-02-08,CN104723095B,"曹兵,黄志军,王飞",集装箱端框装配台
湖南中集竹木业发展有限公司,2013-12-02,CN201310637490.1,2015-09-23,CN104128971B,"刘锐楷,卢建房,李月明,李振林",竹木复合集装箱用底板及其生产方法
广东新会中集特种运输设备有限公司,2013-12-26,CN201310737076.8,2015-07-01,CN104743287A,"姚谷,黎泽深,孔河清,姚学文,赵建刚",集装箱及其钢地板底架
中集集团集装箱控股有限公司,2014-08-29,CN201410438566.2,2015-07-29,CN104801822A,"孟宪志,孙忠明,王兆义",集装箱拼板焊接设备及自动焊接方法
南通中集特种运输设备制造有限公司,2013-10-16,CN201310481721.4,2017-08-25,CN104555162B,"王峰,许新祥,王爱军",卸料门结构及散货集装箱
青岛中集集装箱制造有限公司,2016-03-14,CN201610144350.4,2017-09-22,CN107186488A,沈玉龙,集装箱自动钻孔机
中集集团集装箱控股有限公司,2014-12-03,CN201410730302.4,2017-10-03,CN104803132B,"黄吴飞,陈小军,许新祥,杨建峰",锁紧机构及具有其的硬开顶集装箱
嘉兴中集木业有限公司,2016-03-14,CN201610144109.1,2017-09-22,CN107186830A,"何爽,周和平,胡九龙",集装箱或车辆用地板及其制造方法
广东新会中集特种运输设备有限公司,2013-07-30,CN201310325681.4,2017-07-28,CN104213726B,"罗超军,黎泽深,谢飞龙,王庆峰,陈伟斌",伸缩式模块化看台及其组合
浙江新华制药有限公司,2011-11-01,CN201110338816.1,2012-03-14,CN102372533A,"王世辉,李斌,徐远,孔剑波,张芳",酒石酸衍生物催化端炔锌试剂对含氟烷基芳酮的不对称加成方法
山东新华制药股份有限公司,2011-06-15,CN201110160619.5,2011-11-23,CN102250093A,"夏丙堃,宫怀正,郑志满",从茶碱钠盐母液中回收茶碱钠盐的工艺
山东新华制药股份有限公司,2010-04-10,CN201010145983.X,2011-10-12,CN102210693A,"汪洋,刘怀林,潘西海",一种阿司匹林和双嘧达莫多层片的制备方法
丽珠集团福州福兴医药有限公司,2013-11-19,CN201320731483.3,2014-04-30,CN203564797U,"胡嗣敏,黄志强,赵旭生,郑联顺,林山杉,陈卫聪",一种蒸发器
山东新华制药股份有限公司,2010-06-29,CN201010212069.2,2012-01-11,CN102311335A,"乔俊波,陈广文,刘炜,张玲",高松密度布洛芬的制备工艺
山东新华制药股份有限公司,2010-06-29,CN201010211769.X,2012-01-11,CN102311325A,"李进都,吴军军,常林,刘怀林",普拉格雷中间体环丙基-2-氟苄基酮的制备方法
丽珠集团福州福兴医药有限公司,2010-06-13,CN201020225498.9,2011-01-12,CN201701762U,"黄志强,胡嗣敏,赵旭生,郑联顺,林山杉,陈卫聪",一种蒸发器除沫分离装置
丽珠集团福州福兴医药有限公司,2010-06-13,CN201020226012.3,2011-01-12,CN201702036U,"胡嗣敏,黄志强,赵旭生,郑联顺,林山杉,陈卫聪",一种离心分离清洗装置
山东新华制药股份有限公司,2010-06-29,CN201010211230.4,2012-01-11,CN102311376A,"贺新恒,刘怀林,蒋涛",一种阿托伐他汀钙的制备工艺
浙江新华制药有限公司,2011-07-25,CN201110208876.1,2012-01-18,CN102321139A,"林邦平,李军敏,王小平",一种螺内酯的合成方法
丽珠集团福州福兴医药有限公司,2012-12-20,CN201220712759.9,2013-06-19,CN203007264U,"蒋永飞,石敏敏,彭检",高效发酵罐及其搅拌系统
丽珠集团福州福兴医药有限公司,2016-12-08,CN201621340338.2,2017-06-13,CN206247746U,"刘文锋,何鹏,刘小刚,吴志华,赵正国,陈倩",一种双锥干燥机系统
山东新华制药股份有限公司,2011-07-28,CN201110214020.5,2012-02-15,CN102351794A,"贺新恒,蒋涛,徐英",异丙基安替比林回收品的精制回收工艺
浙江新华制药有限公司,2011-01-13,CN201110006330.8,2012-05-30,CN102093263B,"林邦平,洪秀云,黄明孙",一种氯吡格雷拆分剂左旋樟脑磺酸的回收方法
山东新华制药股份有限公司,2008-07-10,CN200810138066.1,2012-05-23,CN101323598B,"朱连博,宋广慧,韩勇,李兴泰","5,5-二乙基丙二酰脲的制备方法"
丽珠集团福州福兴医药有限公司,2016-11-08,CN201621202996.5,2017-04-26,CN206129642U,"刘柳兵,王为民,蒋永飞,巫秋萍",一种防倒吸液环真空装置
